month,avg_temp,avg_precip,avg_humidity,avg_temp_C
1,51.987096774193546,0.00012903225806451613,65.2,11.103942652329748
2,57.903571428571425,0.005749999999999999,64.86785714285715,14.390873015873012
3,62.012903225806454,0.132258064516129,65.12258064516129,16.67383512544803
4,67.39,0.10253333333333334,56.17666666666666,19.66111111111111
5,69.76129032258065,0.1630967741935484,67.51935483870967,20.978494623655916
6,76.54333333333334,0.2656,70.34666666666666,24.7462962962963
7,75.01290322580645,0.4955161290322581,85.34516129032258,23.89605734767025
8,74.34516129032258,0.5004193548387097,86.75483870967743,23.525089605734767
9,74.99333333333334,0.3549,80.62666666666668,23.88518518518519
10,67.74193548387096,0.10106451612903226,77.51290322580645,19.856630824372758
11,61.019999999999996,0.0002666666666666667,75.28,16.12222222222222
12,54.829032258064515,0.00012903225806451613,73.50645161290322,12.68279569892473
