month,avg_temp,avg_precip,avg_humidity
1,51.987096774193546,0.00012903225806451613,65.2
2,57.903571428571425,0.005749999999999999,64.86785714285715
3,62.012903225806454,0.132258064516129,65.12258064516129
4,67.39,0.10253333333333334,56.17666666666666
5,69.76129032258065,0.1630967741935484,67.51935483870967
6,76.54333333333334,0.2656,70.34666666666666
7,75.01290322580645,0.4955161290322581,85.34516129032258
8,74.34516129032258,0.5004193548387097,86.75483870967743
9,74.99333333333334,0.3549,80.62666666666668
10,67.74193548387096,0.10106451612903226,77.51290322580645
11,61.019999999999996,0.0002666666666666667,75.28
12,54.829032258064515,0.00012903225806451613,73.50645161290322
